Modo,Estrato,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,Capital,0.6608462055,7.372897961,6.813218652,0.4256992341,43.19462317,69.76718708,4.359149416,1995.603408,1905.926984,119.0849287,1489,984
Aplicativo,Interior Rural,0.02081934184,4.802357375,5.364269595,1.888329774,56.35308197,51.01135927,17.9570148,1581.991596,1701.801292,599.0679608,1489,31
Aplicativo,Interior Urbano,0.1725990598,5.060610757,5.209041781,0.6368532516,34.41430033,56.2000505,6.870972898,1281.425099,1323.323261,161.7884358,1489,257
Aplicativo,RM da Capital,0.1457353929,6.806847786,4.847251473,0.6464229504,26.42398677,35.51663712,4.736451055,1780.543264,1582.790316,211.0787921,1489,217
Taxi,Capital,0.2188686788,5.216966876,5.096458734,0.302000695,84.85224287,191.032743,11.32002125,1710.705269,2059.284299,122.026945,5003,1095
Taxi,Interior Rural,0.2020787527,3.270419854,3.309264331,0.2039876956,47.92467534,83.24690494,5.131455999,967.8415383,1494.308977,92.11130158,5003,1011
Taxi,Interior Urbano,0.4967019788,4.62920888,5.088129283,0.2000923262,45.8563486,95.92226077,3.772173864,942.9665927,1588.569796,62.47101993,5003,2485
Taxi,RM da Capital,0.08235058965,5.075155229,5.388797524,0.5203449563,39.47690159,53.91510828,5.206069543,1314.227336,1421.253155,137.2369082,5003,412
Transporte Privado,Capital,0.2115718157,5.579482477,5.065729947,0.1123693932,238.1393938,531.1773086,11.78271887,5621.924799,5952.277831,132.0350384,36902,7807.423144
Transporte Privado,Interior Rural,0.2764498645,4.557999756,3.870921144,0.07511748549,173.1232364,480.0127447,9.314927649,3299.200076,4991.403881,96.86110739,36902,10201.5529
Transporte Privado,Interior Urbano,0.4177777778,4.843979593,3.975707547,0.06275909477,211.2950832,446.4237419,7.047085228,4381.619863,4959.118243,78.28286364,36902,15416.83556
Transporte Privado,RM da Capital,0.09425474255,5.264729936,4.506180917,0.1497586535,235.8421551,457.7640877,15.21335576,5114.028808,4976.475678,165.3884543,36902,3478.188509
Transporte Publico,Capital,0.3456711927,13.24465823,10.17761919,0.2134702826,31.32878546,96.42180799,2.022397401,1514.879584,1433.669215,30.07046802,25262,8732.345671
Transporte Publico,Interior Rural,0.1750920391,5.033619171,5.989885739,0.1765257884,48.81237526,133.2310762,3.926405576,972.8456316,1512.909568,44.58641882,25262,4423.175092
Transporte Publico,Interior Urbano,0.3138830608,7.874157601,8.372911956,0.1842957868,57.03226657,131.4772981,2.893940869,1165.511478,1484.911046,32.68430995,25262,7929.313883
Transporte Publico,RM da Capital,0.165393294,13.75025785,11.91174229,0.3611928649,26.00928032,61.07288175,1.851877633,1655.101302,1586.19872,48.09738541,25262,4178.165393