Modo,casa,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,Apartamento Nao Pavimentada,0.01276024177,7.849189885,5.981289866,2.763164169,24.44832363,14.90968235,6.887795268,1669.176642,914.6135223,422.5221265,1489,19
Aplicativo,Apartamento Pavimentada,0.3552719946,8.189875469,7.889133887,0.6722790565,43.59377467,77.74767116,6.625331977,2275.02365,2353.214571,200.5311222,1489,529
Aplicativo,Casa Nao Pavimentada,0.08059100067,4.942670134,5.090772671,0.9108380657,37.47100192,56.15291976,10.04684753,1136.058945,1313.365311,234.9865525,1489,120
Aplicativo,Casa Pavimentada,0.5513767629,5.696598595,5.054134947,0.3457190782,34.68036919,53.91266253,3.687799433,1463.7668,1307.030237,89.40506997,1489,821
Taxi,Apartamento Nao Pavimentada,0.002398560863,8.021387316,5.696593583,3.366409821,12.54202657,8.54788207,5.051382678,1183.771953,1043.615162,616.7258167,5003,12
Taxi,Apartamento Pavimentada,0.1109334399,5.366045098,5.117711971,0.4261564331,105.1833506,229.0279391,19.07136044,2051.27645,2137.341389,177.9783207,5003,555
Taxi,Casa Nao Pavimentada,0.3212072756,3.995900381,4.11985805,0.2014918914,40.76199702,82.71920746,4.045588309,921.2552171,1601.867247,78.34329666,5003,1607
Taxi,Casa Pavimentada,0.5644613232,4.667265005,5.161745029,0.1904097578,46.73990895,104.4294647,3.852261002,1031.885523,1615.075888,59.57795414,5003,2824
Transporte Privado,Apartamento Nao Pavimentada,0.003306233062,5.346655203,4.156312384,0.7375243394,141.6038607,215.2607119,38.19732485,4754.904112,5216.712959,925.68903,36902,122.0066125
Transporte Privado,Apartamento Pavimentada,0.09203252033,5.482342906,4.745976863,0.1596209412,279.5837438,495.9951444,16.68175258,6393.060719,5926.93295,199.3399132,36902,3396.184065
Transporte Privado,Casa Nao Pavimentada,0.3339837398,4.628528102,3.99830516,0.07059081304,171.3636113,429.7711202,7.587688178,3367.679425,4482.141995,79.13304135,36902,12324.66797
Transporte Privado,Casa Pavimentada,0.5700542005,5.067750318,4.331589968,0.05853476101,216.2026497,498.4729655,6.736093703,4637.882271,5438.467468,73.4925041,36902,21036.14011
Transporte Publico,Apartamento Nao Pavimentada,0.005185859626,9.848391877,10.50674301,1.799204602,39.44945513,77.91248672,13.34195616,1455.279048,1421.845387,243.4808543,25262,131.0051859
Transporte Publico,Apartamento Pavimentada,0.1030046316,12.89615317,10.77482064,0.4140039598,44.7531593,132.0004615,5.071890803,1625.495621,1795.258021,68.97970314,25262,2602.103005
Transporte Publico,Casa Nao Pavimentada,0.2691104865,6.914905439,7.379150862,0.1754138581,44.64110806,122.5966497,2.91431246,1098.156575,1458.276538,34.6654945,25262,6798.26911
Transporte Publico,Casa Pavimentada,0.6208780333,11.294921,10.30696488,0.1613059811,38.70912501,103.8413202,1.625136616,1388.545685,1452.244489,22.72790532,25262,15684.62088