Modo,faixa_etaria,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,0-14,0.004701141706,7.174514818,4.821688216,3.571890984,13.16357279,5.732104113,4.246324127,1187.53014,966.4656839,715.9546426,1489,7
Aplicativo,15-24,0.2169241101,7.121061321,6.067980072,0.6627722271,30.38363408,45.87971901,5.01119041,1699.542851,1724.045848,188.3080849,1489,323
Aplicativo,25-34,0.2592343855,7.593338681,7.371427911,0.7353702594,38.3837593,52.79698112,5.267002564,2097.71836,2160.515897,215.5320726,1489,386
Aplicativo,35-49,0.278710544,6.872065876,6.502033906,0.6255661965,42.71849871,77.34949449,7.441860466,1794.247005,1711.290842,164.6447432,1489,415
Aplicativo,50-64,0.1773002015,5.752094936,5.201225995,0.6274106009,39.78543829,71.24510116,8.594114497,1470.877927,1397.514201,168.5785669,1489,264
Aplicativo,65+,0.06312961719,5.405059304,3.577263956,0.7270388254,47.4458891,63.11023858,12.82644901,2078.760331,1472.998016,299.3703458,1489,94
Taxi,0-14,0.01019388367,7.864939694,6.224626053,1.725346612,20.90610502,43.09976648,11.94642625,818.6172884,691.9777749,191.8029291,5003,51
Taxi,15-24,0.1461123326,5.106051672,5.134189223,0.3721870633,32.1878499,68.29204388,4.950619106,847.6641635,1029.713734,74.64589134,5003,731
Taxi,25-34,0.1970817509,4.504451939,5.231072166,0.3266786014,47.22300236,127.5838112,7.967563757,961.0813166,1644.465681,102.6962985,5003,986
Taxi,35-49,0.2574455327,4.829745207,5.246064881,0.2864994663,47.89234036,92.2638338,5.038736604,1193.193417,1695.366779,92.58781359,5003,1288
Taxi,50-64,0.2298620828,4.241634214,4.279426814,0.2473345431,91.31719023,174.6238146,10.09259026,1362.843283,1719.437175,99.37690876,5003,1150
Taxi,65+,0.1593044173,4.389167409,4.043466376,0.2808958956,51.94272992,80.96059221,5.624257988,1529.425409,2097.544629,145.714499,5003,797
Transporte Privado,0-14,0.001463414634,3.649028985,3.881869476,1.035361806,117.0916231,154.6929026,41.25927571,1220.072615,1086.002673,289.6557175,36902,54.00292683
Transporte Privado,15-24,0.09707317073,4.788925787,4.023823825,0.13177234,129.4276639,349.3927882,11.4419287,2807.634295,3538.101388,115.8658827,36902,3582.194146
Transporte Privado,25-34,0.223902439,5.107428761,4.325869907,0.09327794093,187.9481541,438.903248,9.463990393,4089.556849,4594.590822,99.07232084,36902,8262.447805
Transporte Privado,35-49,0.3584552846,5.169854762,4.398800325,0.07496381204,211.9785814,421.0036744,7.17469264,4834.162396,5517.623547,94.03065926,36902,13227.71691
Transporte Privado,50-64,0.2352845528,5.028846221,4.264029704,0.08969297351,251.1945533,548.9587438,11.54723243,5280.158129,5612.399004,118.0556399,36902,8682.470569
Transporte Privado,65+,0.08387533875,4.514367428,3.760581993,0.132486866,286.0665784,649.0712182,22.86704868,4999.956486,5604.684878,197.4553768,36902,3095.167751
Transporte Publico,0-14,0.01955583706,7.608069437,7.486288239,0.6601629718,21.02214064,54.53966865,4.809468803,749.5421103,1329.049032,117.1994626,25262,494.0195558
Transporte Publico,15-24,0.2164997427,11.49013511,10.08878267,0.2673824487,29.6880949,82.53085799,2.187310762,1286.795171,1397.039537,37.02566153,25262,5469.2165
Transporte Publico,25-34,0.196468865,12.34219122,10.97751218,0.305407629,42.73739584,111.4729841,3.101312866,1528.136458,1485.712773,41.33432128,25262,4963.196469
Transporte Publico,35-49,0.2771861763,11.43132938,10.0991203,0.2365487097,38.96059562,111.7674538,2.617896035,1481.762646,1569.134658,36.7533773,25262,7002.277186
Transporte Publico,50-64,0.2189937057,9.155522879,8.716544549,0.2296949038,43.49433149,123.6046682,3.257180896,1286.095901,1500.588382,39.54290626,25262,5532.218994
Transporte Publico,65+,0.07133525989,5.057312935,5.52279957,0.254994011,75.38648238,155.1387813,7.162936046,1066.503915,1506.52957,69.55820374,25262,1802.071335