Modo,ocup,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,Autonomo,0.1591672263,7.856537915,7.621395379,0.9703053158,44.71107734,62.33442469,7.936003924,2234.81154,2197.342132,279.7509702,1489,237
Aplicativo,Empregador,0.03492276696,8.066529743,8.298971388,2.277651482,49.57570161,105.0891982,28.84171504,2281.823422,1762.125478,483.6150793,1489,52
Aplicativo,Militar,0.01007387508,7.982100061,7.801302293,3.947931135,71.64261627,41.92310196,21.21562699,3999.07371,3130.644723,1584.295713,1489,15
Aplicativo,Nao Remunerado,0.00604432505,4.384568446,2.171646698,1.418783106,29.55662049,29.96051935,19.57384631,1358.317065,729.7089592,476.7344268,1489,9
Aplicativo,Nao Trabalha,0.1027535259,4.975924393,3.972313934,0.6314949197,31.05457051,39.28612471,6.245475202,1126.884049,1042.174664,165.6787497,1489,153
Aplicativo,Sem declaracao,0.124916051,5.991364031,3.786204567,0.545589875,37.62318516,48.75903869,7.026149104,1813.887001,1280.460432,184.5136032,1489,186
Aplicativo,Setor Privado,0.3713901948,7.172786372,6.596570672,0.5497987465,35.02822064,55.80256235,4.650928543,1874.488082,1885.54303,157.1527459,1489,553
Aplicativo,Setor Publico,0.161853593,6.389862437,6.441627101,0.8132707456,47.79776584,90.20050389,11.3880282,1482.669966,1652.465561,208.6277082,1489,241
Aplicativo,Trabalhador Domestico,0.02887844191,6.448328259,5.42593338,1.640959654,24.61569786,13.37875851,4.046124675,1568.533758,1394.266947,421.6667708,1489,43
Taxi,Autonomo,0.1898860684,4.797161089,5.135433495,0.3265603088,44.45500155,92.99117679,5.913274399,1138.626617,1863.918646,118.5258945,5003,950
Taxi,Empregador,0.01898860684,3.881993026,5.891030714,1.18461595,132.4277369,166.55655,33.49253385,1510.484408,1768.040935,355.5319253,5003,95
Taxi,Militar,0.003597841295,4.338881894,3.566007921,1.64738134,71.7334034,213.786071,98.76231121,1208.386667,1615.368883,746.2486381,5003,18
Taxi,Nao Remunerado,0.01519088547,3.461921482,4.025367902,0.9049964476,32.01228852,53.06994581,11.93135972,540.5205039,650.8120756,146.3177108,5003,76
Taxi,Nao Trabalha,0.1189286428,4.482436459,3.896724375,0.3133679359,34.56740054,141.254549,11.3594502,954.2657458,1131.02757,90.95531043,5003,595
Taxi,Sem declaracao,0.258245053,4.328781491,4.011218171,0.2188070214,46.51960475,77.12801193,4.20723826,1362.394548,2039.561894,111.2555947,5003,1292
Taxi,Setor Privado,0.2238656806,4.983802382,5.517943963,0.323159082,47.70174942,88.3171653,5.17230589,1131.041223,1320.254702,77.32088261,5003,1120
Taxi,Setor Publico,0.1203278033,4.624774899,5.782068059,0.4622682382,132.4560651,221.6986121,17.72449334,1439.602646,1890.805035,151.1672127,5003,602
Taxi,Trabalhador Domestico,0.05096941835,4.702404024,4.07405249,0.5010232194,25.28703045,53.61665865,6.593727252,738.8275046,921.1331485,113.2801054,5003,255
Transporte Privado,Autonomo,0.2757181572,5.371838752,4.794930408,0.09317181014,210.8399405,492.899004,9.577676529,4648.070502,5337.713223,103.7187948,36902,10174.55144
Transporte Privado,Empregador,0.04772357724,5.913141572,4.82415488,0.2253147668,305.8649825,621.8382854,29.04329396,7693.772983,8853.073539,413.4875953,36902,1761.095447
Transporte Privado,Militar,0.01154471545,4.735897319,4.103270972,0.3896489316,257.5671686,444.6942774,42.22842001,6203.175076,5613.914796,533.1005232,36902,426.0230894
Transporte Privado,Nao Remunerado,0.01089430894,4.435535262,3.905009183,0.3817307313,170.3528337,346.3893322,33.86098391,3048.965443,3353.232308,327.7922691,36902,402.0217886
Transporte Privado,Nao Trabalha,0.04327913279,4.080218489,3.407128515,0.1671029622,149.6944357,354.4153263,17.38233548,3110.694141,3618.420725,177.4658099,36902,1597.086558
Transporte Privado,Sem declaracao,0.1108672087,4.196975612,3.565271706,0.1092511417,252.5499616,542.6449673,16.62834901,4366.82388,5125.864027,157.0726002,36902,4091.221734
Transporte Privado,Setor Privado,0.3601355014,5.043263583,4.041371234,0.06871169889,193.8635834,424.7790311,7.222125162,4177.439586,4585.564695,77.9641172,36902,13289.72027
Transporte Privado,Setor Publico,0.1187804878,5.238283081,4.271952606,0.1264703679,246.750386,506.4840017,14.99436533,5511.645637,5188.848333,153.6148966,36902,4383.237561
Transporte Privado,Trabalhador Domestico,0.02111111111,4.019872946,3.651905237,0.2564477317,153.0211955,384.801189,27.02189287,2661.860248,3294.291563,231.3350276,36902,779.0422222
Transporte Publico,Autonomo,0.160682475,8.106760406,8.273485162,0.2545230144,48.69904824,127.2753007,3.915459152,1175.393738,1441.235628,44.3377403,25262,4059.160682
Transporte Publico,Empregador,0.009540398242,6.331918358,7.474159161,0.9436303745,112.6730739,261.3841289,33.00036808,1621.478006,2375.735455,299.9422528,25262,241.0095404
Transporte Publico,Militar,0.003839911326,11.58337604,10.91010444,2.171156516,28.89836027,113.7993758,22.64655279,1373.509784,2220.004082,441.7901179,25262,97.00383991
Transporte Publico,Nao Remunerado,0.01203436127,6.235469251,5.643750901,0.6344233174,48.80601341,105.8509355,11.89887769,960.9910522,1093.525547,122.9250045,25262,304.0120344
Transporte Publico,Nao Trabalha,0.1636514786,8.201917631,7.765654271,0.2367232458,28.81507171,73.58763725,2.243198542,941.5404719,1123.206401,34.23910666,25262,4134.163651
Transporte Publico,Sem declaracao,0.1546257076,5.775628667,6.071635674,0.1904090893,62.27154858,135.7630828,4.257588291,991.0406785,1348.061397,42.27578148,25262,3906.154626
Transporte Publico,Setor Privado,0.328015518,14.33920328,11.44089612,0.2463404153,32.64518657,91.98439589,1.980568134,1695.920624,1602.837344,34.51159881,25262,8286.328016
Transporte Publico,Setor Publico,0.08554689046,10.67465799,9.688551779,0.4084882536,56.99100261,151.148554,6.372718056,1623.252976,1738.593864,73.30251077,25262,2161.085547
Transporte Publico,Trabalhador Domestico,0.08206325957,12.70639544,10.6820837,0.4598375335,25.9423714,77.08473616,3.318309043,1468.079581,1379.689422,59.39224954,25262,2073.082063