Modo,status_pessoa,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,Nem-Nem,0.05775688381,4.439799351,2.945326909,0.6224899883,28.74077088,31.22738612,6.599856594,1072.484781,902.6951398,190.7831301,1489,86
Aplicativo,Apenas Estuda,0.04499664204,5.584206531,4.928918329,1.180218212,33.67978455,47.94194329,11.47958859,1188.604917,1200.067135,287.3533287,1489,67
Aplicativo,Apenas Trabalha,0.719274681,6.977189554,6.59315752,0.3948633336,39.88887307,66.09648425,3.958509717,1922.299742,1835.690963,109.9392895,1489,1071
Aplicativo,Trabalha e Estuda,0.1779717931,7.250069174,6.176620053,0.7436627727,39.02651545,63.1302578,7.600859717,1816.833924,1848.93911,222.6115858,1489,265
Taxi,Nem-Nem,0.07735358785,4.026492835,3.021606594,0.3014340847,38.04771991,162.3880266,16.19975488,1084.764052,1290.362169,128.7259367,5003,387
Taxi,Apenas Estuda,0.04157505497,5.334751833,5.003815537,0.6800137827,28.06148721,89.29065099,12.13451473,710.3195507,731.7182114,99.4398105,5003,208
Taxi,Apenas Trabalha,0.8045172896,4.64737405,4.929935888,0.1523212086,59.12781238,117.076198,3.617326548,1232.736685,1745.404826,53.92811965,5003,4025
Taxi,Trabalha e Estuda,0.07655406756,4.589036485,5.49384351,0.5509252717,54.7458917,103.6004144,10.38909943,1124.372949,1776.616766,178.1599845,5003,383
Transporte Privado,Nem-Nem,0.03376693767,3.992983628,3.329358519,0.1848628459,161.9066959,388.6091577,21.57754847,3219.988828,3757.676467,208.6452275,36902,1246.067534
Transporte Privado,Apenas Estuda,0.009512195122,4.451401022,3.654888398,0.3823566548,97.73152014,175.2746058,18.33637711,2645.647501,2990.228129,312.823129,36902,351.0190244
Transporte Privado,Apenas Trabalha,0.887804878,5.055598937,4.298755933,0.04654920891,220.8461093,488.6042501,5.290865932,4686.491929,5309.960923,57.49907279,36902,32761.77561
Transporte Privado,Trabalha e Estuda,0.06891598916,5.266296198,4.324075301,0.1680614707,181.4944612,360.7815103,14.02229771,4478.481344,4929.698296,191.5998885,36902,2543.137832
Transporte Publico,Nem-Nem,0.08934721507,6.673632751,6.61182005,0.272774229,34.14170544,84.70408696,3.494513136,862.9789605,1121.37105,46.26277203,25262,2257.089347
Transporte Publico,Apenas Estuda,0.07430426349,10.00606386,8.663916884,0.3919496061,22.52695993,56.5780444,2.559551588,1034.282641,1125.314887,50.908467,25262,1877.074304
Transporte Publico,Apenas Trabalha,0.7380547088,10.79093428,10.00470283,0.143609357,43.52636215,120.2095249,1.725509779,1422.484967,1547.798077,22.2173802,25262,18644.73805
Transporte Publico,Trabalha e Estuda,0.0982938126,13.44973076,10.90225803,0.428821141,39.87232312,101.4901536,3.991936655,1621.545014,1554.535801,61.14493108,25262,2483.098294